"ORIG_RT","ORIG_AMT","ORIG_TRM","OLTV","OCLTV","NUM_BO","DTI","CSCORE_B","NUM_UNIT","LAST_RT","Loan.Age","Adj.Month.To.Mat","CSCORE_MN","loan_month","first_month","cluster"
6.75,12.614865543731,12,67,88,2,21,695,1,6.75,0.133333333333333,356,695,366,2,2
6.75,11.0020998412042,6,28,28,2,21,788,1,6.75,0.133333333333333,175,771,184,2,5
4.5,12.9214704350249,12,78,78,1,38,723,1,4.5,0.1,356,723,366,2,4
6.5,12.3238556811866,12,80,80,2,43,682,1,6.5,0,359,682,366,2,3
2.625,11.7829526021833,6,8,8,2,20,801,1,2.625,0.0333333333333333,179,798,184,2,5
6.5,12.0137007528827,6,60,60,2,24,807,1,6.5,0.1,177,777,184,2,1
3.875,12.7599577587566,12,80,80,2,27,783,1,3.875,0.233333333333333,353,783,366,2,2
6.375,12.1117619660589,12,80,80,2,18,752,1,6.375,0.4,348,752,366,2,3
5.375,11.9049675527463,12,80,80,1,61,668,1,5.375,0.166666666666667,355,668,366,2,4
5,10.6919449129004,12,80,80,2,23,801,1,5,0.333333333333333,350,801,366,2,3
5.125,12.9408415007809,12,79,79,2,35,771,1,5.125,0.366666666666667,348,771,366,2,2
3.5,11.5898865061064,12,95,95,1,28,732,1,3.5,0.4,348,732,366,2,4
3.5,12.1495022940418,12,58,58,2,23,781,1,3.5,0.233333333333333,353,762,366,2,2
5.375,10.7579028806922,6,43,65,1,24,761,1,5.375,0.366666666666667,169,761,184,2,5
6.375,12.6247829803884,12,90,90,2,45,802,1,6.375,0.4,348,780,366,2,3
6.625,11.5521461781235,12,36,36,2,48,719,1,6.625,0.0333333333333333,359,719,366,2,5
5.375,12.5672374947418,12,80,90,2,42,789,1,5.375,0.166666666666667,355,789,366,2,2
3.5,11.9183905730784,12,86,86,2,20,795,1,3.5,0.1,357,740,366,2,2
3.875,11.8130300574206,12,72,72,3,38,726,1,3.875,0.166666666666667,355,726,366,2,2
6.375,12.3013828253345,12,80,80,2,32,700,1,6.375,0.333333333333333,348,700,366,2,3
5.75,12.2783933071098,12,50,50,2,54,761,1,5.75,0.333333333333333,349,761,366,2,5
7.75,11.7117763237154,12,80,80,2,43,723,1,7.75,0.0666666666666667,356,723,366,2,3
3.75,11.7752897294377,12,80,80,1,42,801,1,3.75,0.166666666666667,355,801,366,2,4
7,11.0020998412042,12,43,43,2,22,689,1,7,0.3,351,689,366,2,5
5.125,12.1547793511426,12,95,95,1,43,766,1,5.125,0.0666666666666667,358,766,366,2,4
4.625,12.9408415007809,12,22,22,2,24,732,1,4.625,0.1,357,732,366,2,5
7.8,10.8589989975636,11.6,48,48,2,40,777,1,7.8,0.433333333333333,332,761,354,2,5
3.875,12.1441972418121,12,80,80,1,44,786,1,3.875,0.3,350,786,366,2,4
3.5,11.6439537273766,12,80,80,1,31,700,1,3.5,0.0333333333333333,359,700,366,2,4
5.75,12.8815648908514,12,44,44,2,32,756,2,5.75,0.2,354,748,366,2,5
5.125,12.1756134380455,12,94,94,2,39,705,1,5.125,0.133333333333333,356,678,366,2,2
6.25,11.0974100210086,12,80,80,2,37,686,1,6.25,0.0333333333333333,359,686,366,2,3
6,12.2258752728264,12,54,54,1,58,607,1,6,0.0666666666666667,358,607,366,2,4
6.5,11.289781913656,6,56,77,2,35,783,1,6.5,0.1,176,783,185,3,1
6,12.1226910365911,12,55,55,1,40,744,1,6,0.3,351,744,366,2,4
4.375,11.870599909242,12,75,75,2,46,770,2,4.375,0.333333333333333,350,764,366,2,2
8.5,11.5617156291397,8,75,75,2,35,673,1,8.5,0.166666666666667,235,673,244,2,3
5.875,11.9316357998284,12,64,64,2,23,764,1,5.875,0.1,356,747,366,2,3
6.25,12.0376539939052,12,74,74,2,57,763,1,6.25,0.2,354,763,366,2,3
7.875,12.2060726455302,12,68,68,2,43,789,1,7.875,0,360,770,367,3,3
4.5,12.4760997827432,6,78,79,2,39,781,1,4.5,0.0666666666666667,178,781,184,2,1
2.75,12.1388638958367,6,64,64,2,21,715,1,2.75,0.266666666666667,172,715,184,2,1
4.25,12.5776362019627,12,73,73,1,33,796,1,4.25,0,360,796,366,2,4
3.5,10.8780471925343,6,80,80,2,24,784,1,3.5,0.1,177,784,184,2,1
6.375,11.0020998412042,6,61,61,1,25,597,1,6.375,0.133333333333333,173,597,184,2,1
4.875,11.7905572015685,12,69,69,2,34,701,1,4.875,0.0666666666666667,358,701,367,3,2
3.5,12.9408415007809,12,78,95,2,42,801,1,3.5,0,360,801,366,2,2
3.875,12.9336212528075,12,67,67,1,34,722,1,3.875,0.333333333333333,350,722,366,2,2
6.25,12.9408415007809,12,63,80,2,32,720,1,6.25,0.0666666666666667,358,720,366,2,2
5.25,11.5424842672118,6,27,27,2,34,778,1,5.25,0.366666666666667,166,769,184,2,5
2.75,11.3850920934603,6,57,57,1,19,754,1,2.75,0.0333333333333333,178,754,184,2,1
4.625,11.8981878657609,12,80,80,1,28,804,1,4.625,0.133333333333333,355,804,366,2,4
6.375,11.9183905730784,12,62,62,1,53,683,1,6.375,0.166666666666667,354,683,366,2,4
